Market,Outcome,Bin,BinStart,BinEnd,MeanPredictedProb,ObservedRate,Count,CalibrationGap,AbsCalibrationGap,BrierScore,CalibrationMethod
Over 2.5,Over 2.5,3,0.2,0.30000000000000004,0.2958967995552242,0.25,4,-0.04589679955522419,0.04589679955522419,0.1931626440429508,sigmoid
Over 2.5,Over 2.5,4,0.30000000000000004,0.4,0.3716103995080819,0.43375394321766564,634,0.06214354370958375,0.06214354370958375,0.24809765588798235,sigmoid
Over 2.5,Over 2.5,5,0.4,0.5,0.45485564008240503,0.452991452991453,1872,-0.0018641870909520408,0.0018641870909520408,0.24731675165838973,sigmoid
Over 2.5,Over 2.5,6,0.5,0.6000000000000001,0.5462503921758944,0.5632247377139702,1811,0.016974345538075752,0.016974345538075752,0.24651759323719544,sigmoid
Over 2.5,Over 2.5,7,0.6000000000000001,0.7000000000000001,0.638484313234786,0.6471354166666666,768,0.00865110343188058,0.00865110343188058,0.22549302801123747,sigmoid
Over 2.5,Over 2.5,8,0.7000000000000001,0.8,0.731805746060184,0.7416666666666667,120,0.009860920606482693,0.009860920606482693,0.1885992042256212,sigmoid
Under 2.5,Under 2.5,3,0.2,0.30000000000000004,0.268194253939816,0.25833333333333336,120,-0.009860920606482637,0.009860920606482637,0.1885992042256212,sigmoid
Under 2.5,Under 2.5,4,0.30000000000000004,0.4,0.361515686765214,0.3528645833333333,768,-0.008651103431880691,0.008651103431880691,0.22549302801123747,sigmoid
Under 2.5,Under 2.5,5,0.4,0.5,0.4537496078241056,0.4367752622860298,1811,-0.016974345538075808,0.016974345538075808,0.24651759323719544,sigmoid
Under 2.5,Under 2.5,6,0.5,0.6000000000000001,0.5451443599175949,0.5470085470085471,1872,0.0018641870909521518,0.0018641870909521518,0.24731675165838973,sigmoid
Under 2.5,Under 2.5,7,0.6000000000000001,0.7000000000000001,0.6283896004919182,0.5662460567823344,634,-0.06214354370958375,0.06214354370958375,0.24809765588798235,sigmoid
Under 2.5,Under 2.5,8,0.7000000000000001,0.8,0.7041032004447758,0.75,4,0.04589679955522419,0.04589679955522419,0.19316264404295083,sigmoid
Resultado 1X2,Casa,1,0.0,0.1,0.0947438499824799,0.14285714285714285,7,0.048113292874662955,0.048113292874662955,0.1232869468196759,sigmoid
Resultado 1X2,Casa,2,0.1,0.2,0.1578547687153757,0.10723860589812333,373,-0.05061616281725238,0.05061616281725238,0.0980042928595921,sigmoid
Resultado 1X2,Casa,3,0.2,0.30000000000000004,0.25451612009295943,0.2445961319681456,879,-0.009919988124813817,0.009919988124813817,0.1846355628050723,sigmoid
Resultado 1X2,Casa,4,0.30000000000000004,0.4,0.3490043046344546,0.348294434470377,1114,-0.0007098701640775862,0.0007098701640775862,0.22529169719295916,sigmoid
Resultado 1X2,Casa,5,0.4,0.5,0.44924413153350345,0.45754328112118714,1213,0.008299149587683685,0.008299149587683685,0.2481408483655648,sigmoid
Resultado 1X2,Casa,6,0.5,0.6000000000000001,0.5504702487545919,0.5247191011235955,890,-0.025751147630996396,0.025751147630996396,0.24991001887895423,sigmoid
Resultado 1X2,Casa,7,0.6000000000000001,0.7000000000000001,0.6411274828371967,0.6856581532416502,509,0.044530670404453576,0.044530670404453576,0.21674365423454853,sigmoid
Resultado 1X2,Casa,8,0.7000000000000001,0.8,0.7478856784073264,0.797979797979798,297,0.05009411957247156,0.05009411957247156,0.16003463084737196,sigmoid
Resultado 1X2,Casa,9,0.8,0.9,0.8146648348248113,0.859375,64,0.044710165175188665,0.044710165175188665,0.12362891283560831,sigmoid
Resultado 1X2,Empate,1,0.0,0.1,0.09674914220895116,0.15384615384615385,13,0.057097011637202696,0.057097011637202696,0.1335959987724006,sigmoid
Resultado 1X2,Empate,2,0.1,0.2,0.1613476628172466,0.16807909604519775,708,0.006731433227951139,0.006731433227951139,0.13892514374527393,sigmoid
Resultado 1X2,Empate,3,0.2,0.30000000000000004,0.2600897298766685,0.27247191011235955,3204,0.012382180235691043,0.012382180235691043,0.19786111200551904,sigmoid
Resultado 1X2,Empate,4,0.30000000000000004,0.4,0.3253320185887533,0.30638297872340425,1410,-0.01894903986534907,0.01894903986534907,0.2132556317703763,sigmoid
Resultado 1X2,Empate,5,0.4,0.5,0.41439261298976027,0.36363636363636365,11,-0.05075624935339662,0.05075624935339662,0.2373985907617045,sigmoid
Resultado 1X2,Fora,1,0.0,0.1,0.08700751342541153,0.019801980198019802,202,-0.06720553322739173,0.06720553322739173,0.02379985786240765,sigmoid
Resultado 1X2,Fora,2,0.1,0.2,0.16033098300534648,0.14996114996114995,1287,-0.01036983304419653,0.01036983304419653,0.12576414905061453,sigmoid
Resultado 1X2,Fora,3,0.2,0.30000000000000004,0.24834065023497226,0.25213154689403167,1642,0.003790896659059406,0.003790896659059406,0.1870474300789748,sigmoid
Resultado 1X2,Fora,4,0.30000000000000004,0.4,0.34884366936951977,0.3584905660377358,954,0.009646896668216054,0.009646896668216054,0.23066907027056244,sigmoid
Resultado 1X2,Fora,5,0.4,0.5,0.44489775353712474,0.4668820678513732,619,0.021984314314248465,0.021984314314248465,0.24834913105449416,sigmoid
Resultado 1X2,Fora,6,0.5,0.6000000000000001,0.5450393101565614,0.4676056338028169,355,-0.07743367635374448,0.07743367635374448,0.2495087650518333,sigmoid
Resultado 1X2,Fora,7,0.6000000000000001,0.7000000000000001,0.6460223656221439,0.6633663366336634,202,0.01734397101151952,0.01734397101151952,0.22594704857881187,sigmoid
Resultado 1X2,Fora,8,0.7000000000000001,0.8,0.735689819612645,0.788235294117647,85,0.05254547450500202,0.05254547450500202,0.17215178249207802,sigmoid
Vitoria Casa/Fora,Casa,1,0.0,0.1,0.0947438499824799,0.14285714285714285,7,0.048113292874662955,0.048113292874662955,0.1232869468196759,sigmoid
Vitoria Casa/Fora,Casa,2,0.1,0.2,0.1578547687153757,0.10723860589812333,373,-0.05061616281725238,0.05061616281725238,0.0980042928595921,sigmoid
Vitoria Casa/Fora,Casa,3,0.2,0.30000000000000004,0.25451612009295943,0.2445961319681456,879,-0.009919988124813817,0.009919988124813817,0.1846355628050723,sigmoid
Vitoria Casa/Fora,Casa,4,0.30000000000000004,0.4,0.3490043046344546,0.348294434470377,1114,-0.0007098701640775862,0.0007098701640775862,0.22529169719295916,sigmoid
Vitoria Casa/Fora,Casa,5,0.4,0.5,0.44924413153350345,0.45754328112118714,1213,0.008299149587683685,0.008299149587683685,0.2481408483655648,sigmoid
Vitoria Casa/Fora,Casa,6,0.5,0.6000000000000001,0.5504702487545919,0.5247191011235955,890,-0.025751147630996396,0.025751147630996396,0.24991001887895423,sigmoid
Vitoria Casa/Fora,Casa,7,0.6000000000000001,0.7000000000000001,0.6411274828371967,0.6856581532416502,509,0.044530670404453576,0.044530670404453576,0.21674365423454853,sigmoid
Vitoria Casa/Fora,Casa,8,0.7000000000000001,0.8,0.7478856784073264,0.797979797979798,297,0.05009411957247156,0.05009411957247156,0.16003463084737196,sigmoid
Vitoria Casa/Fora,Casa,9,0.8,0.9,0.8146648348248113,0.859375,64,0.044710165175188665,0.044710165175188665,0.12362891283560831,sigmoid
Vitoria Casa/Fora,Fora,1,0.0,0.1,0.08700751342541153,0.019801980198019802,202,-0.06720553322739173,0.06720553322739173,0.02379985786240765,sigmoid
Vitoria Casa/Fora,Fora,2,0.1,0.2,0.16033098300534648,0.14996114996114995,1287,-0.01036983304419653,0.01036983304419653,0.12576414905061453,sigmoid
Vitoria Casa/Fora,Fora,3,0.2,0.30000000000000004,0.24834065023497226,0.25213154689403167,1642,0.003790896659059406,0.003790896659059406,0.1870474300789748,sigmoid
Vitoria Casa/Fora,Fora,4,0.30000000000000004,0.4,0.34884366936951977,0.3584905660377358,954,0.009646896668216054,0.009646896668216054,0.23066907027056244,sigmoid
Vitoria Casa/Fora,Fora,5,0.4,0.5,0.44489775353712474,0.4668820678513732,619,0.021984314314248465,0.021984314314248465,0.24834913105449416,sigmoid
Vitoria Casa/Fora,Fora,6,0.5,0.6000000000000001,0.5450393101565614,0.4676056338028169,355,-0.07743367635374448,0.07743367635374448,0.2495087650518333,sigmoid
Vitoria Casa/Fora,Fora,7,0.6000000000000001,0.7000000000000001,0.6460223656221439,0.6633663366336634,202,0.01734397101151952,0.01734397101151952,0.22594704857881187,sigmoid
Vitoria Casa/Fora,Fora,8,0.7000000000000001,0.8,0.735689819612645,0.788235294117647,85,0.05254547450500202,0.05254547450500202,0.17215178249207802,sigmoid
